duration,total_fiat,total_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,mean_flowiat,std_flowiat,mean_active,std_active,mean_idle,std_idle
119364082.0,119364082.0,119338343.0,32702.4882191781,20131.2994264507,80.2586493314,70436.7499764293,12461.01701639,845678.238767331,59700000.0,1262338.33948233,58500000.0,262410.154923547
93952224.0,93736153.0,93738835.0,37645.0413654618,28319.8897280967,61.7547914566,49509.0249273929,16195.8669194966,835567.164238809,46900000.0,2342095.34410184,45000000.0,6181.5274002466
73934090.0,73802530.0,73804692.0,55117.6474981329,25189.3146757679,57.7676684734,52235.0920935119,17314.775175644,518176.184989578,9157562.25,9267157.39890622,7350661.75,10100000.0
42933658.0,42803851.0,42933658.0,31706.5562962963,16055.9678384443,93.7725828067,83286.9400506242,10666.7473291925,162363.675416476,5265231.0,3133671.36514976,3334209.875,1382746.96402497
270207.0,203681.0,244006.0,593.8221574344,363.1041666667,3763.7811011558,3479554.56372337,265.9517716535,2648.2935975742,0.0,0.0,0.0,0.0
118033511.0,118033511.0,118007383.0,379528.974276527,172022.424198251,8.4636980764,7954.8510592047,118270.051102204,2629948.2468839,59000000.0,1484.2167968326,58800000.0,226337.809587793
55595001.0,55424950.0,55464526.0,170015.18404908,88038.9301587302,17.2317651366,15322.5647032545,58093.0,1023972.52314642,18400000.0,5106593.46429788,17800000.0,4979308.24955122
70879295.0,55916114.0,70739980.0,122354.735229759,123455.462478185,14.5599642321,11238.2748727961,68748.1037827352,1494816.19712197,23600000.0,18800000.0,22500000.0,19800000.0
1314540.0,1314535.0,1183635.0,4095.1246105919,2320.8529411765,633.6817441843,547879.866721439,1579.9759615385,11183.8142083152,0.0,0.0,0.0,0.0
74937639.0,74937639.0,74873632.0,291586.143968872,136880.49725777,10.7556097411,9322.9385035736,93090.2347826087,2113450.62464761,25000000.0,29600000.0,24900000.0,29500000.0
98166217.0,98166184.0,98166106.0,229360.242990654,137873.744382022,11.6333300284,7374.3597555562,86035.2471516214,1115079.871941,7539145.38461539,8143650.47760298,6965511.07692308,8132933.86628283
64999929.0,64999929.0,64934941.0,335051.180412371,170881.423684211,8.8615481411,7825.0393165814,113043.354782609,2444877.06369427,32500000.0,36900000.0,32200000.0,36900000.0
119960661.0,119483773.0,119908114.0,330979.980609418,201188.110738255,7.9942873939,4309.6794873446,125219.896659708,456610.416589569,7520705.33333333,6123488.13956753,2913416.8,1948350.50916379
100207594.0,100182057.0,100181910.0,753248.54887218,461667.788018433,3.5127078293,2794.1794511103,285491.720797721,3780732.45697406,50100000.0,13400000.0,49400000.0,12500000.0
116066649.0,116001269.0,116041089.0,290729.997493734,231618.94011976,7.7713969325,3720.9310660808,128819.810210877,1215073.49771334,10500000.0,5374334.52839877,9756498.90909091,5429313.54312219
91725424.0,91524990.0,91524139.0,933928.469387755,520023.517045455,3.0089803673,2643.7272178758,333546.996363636,3831261.33587359,45800000.0,795557.354230982,45000000.0,16677.820511086
119941617.0,119864941.0,119941617.0,183560.399693721,125461.942468619,13.4315347775,2668.7817623803,74497.898757764,414900.631246741,5088964.17391304,5223663.20274239,2864147.95652174,1933842.04171667
119845953.0,119845953.0,119765192.0,479383.812,315171.557894737,5.2734363087,2682.5519923898,189930.194928685,842127.810926837,5447444.45454545,6127969.54733064,3188806.40909091,3277219.09787749
65251194.0,65251194.0,65189640.0,709252.108695652,385737.514792899,4.0305775861,3298.9741153242,249050.358778626,3639363.37205229,32600000.0,37000000.0,32000000.0,37800000.0
116676775.0,116612417.0,116651166.0,332229.108262108,285909.720588235,6.5222920328,3068.4512834709,153522.072368421,2326416.07355433,12900000.0,18500000.0,12100000.0,18700000.0
119860656.0,119814722.0,119860656.0,493064.699588477,337635.650704225,5.0058127498,2694.0199626473,200101.262103506,1009877.1437117,5342039.40909091,5925554.25884671,3265340.36363636,4240735.05268503
117866537.0,117866537.0,117737657.0,473359.586345382,367930.178125,4.844462343,2237.9210140025,206783.398245614,748763.243197234,7363645.0,5592050.42615134,3153554.6875,3201126.17746791
65817281.0,65817281.0,65755717.0,419218.350318471,292247.631111111,5.834333995,3077.4440530292,171846.686684073,3009546.9835182,16400000.0,28400000.0,15600000.0,28800000.0
119689477.0,119386337.0,119689477.0,464538.276264591,395014.775577558,4.6954837976,2487.5202688036,213350.226381462,853316.008589165,5062452.45454545,3467271.88625449,2762667.27272727,3351200.91022289
