duration,total_fiat,total_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,mean_flowiat,std_flowiat,mean_active,std_active,mean_idle,std_idle
59883459.0,59883459.0,59849438.0,1931.2261029412,406.8235382085,2974.5108745305,3434471.61260341,336.191614783,9850.4953353954,11300000.0,16000000.0,1139537.6,74997.3853814251
59999989.0,59998050.0,59972809.0,2979.3450193664,690.4696055631,1783.3003269384,2025687.70470941,560.7632830827,7590.960501734,0.0,0.0,0.0,0.0
143704195.0,143704195.0,42106019.0,6986.1057365095,636.8988368048,603.2043810551,645213.405217572,1657.8320181814,345078.17588796,144000000.0,0.0,102000000.0,0.0
59162045.0,59161897.0,59160676.0,9619.8206504065,2218.1648982041,554.7982663547,630517.149973433,1802.5118822741,16392.6096747698,0.0,0.0,0.0,0.0
59856466.0,59856466.0,59824081.0,10661.9996437478,2438.3159160383,503.7216864758,573205.641642793,1985.2890878939,18541.5548467822,0.0,0.0,0.0,0.0
59507806.0,59507806.0,59475531.0,8744.7180014695,2517.4827936508,511.3950932757,556274.617148547,1955.4995235122,15721.5792323861,0.0,0.0,0.0,0.0
59986046.0,59986046.0,59984060.0,14347.2963405884,2769.9866081736,430.7335075894,504359.680583048,2321.7109571545,27458.1963828279,8537785.5,8948427.12352755,2347216.5,774217.578681536
52824294.0,52824224.0,52822457.0,12846.3579766537,2759.0732306085,440.3087715664,506686.677156537,2271.2311462723,18705.7207349992,0.0,0.0,0.0,0.0
59947410.0,59947410.0,59924811.0,18548.0847772277,4803.9771524772,262.0296690049,290284.417625382,3816.6046985421,63608.6559194872,5681338.0,3169693.82790941,4077856.0,4330795.6895297
59984039.0,59984039.0,59955542.0,18645.9555486478,4963.2071192053,255.0511811984,281728.344435092,3921.0379788208,35330.2044204483,0.0,0.0,0.0,0.0
59997190.0,59748133.0,59997174.0,24517.0837094789,5112.6692799318,236.2443974459,273211.978761005,4233.2032738305,39452.5371234405,0.0,0.0,0.0,0.0
